crop,state,plant_begin,harvest_end,plant_month,plant_day,harvest_month,harvest_day,doy_begin,doy_harvest,growingdays
sorghum_silage,31,5/20/2023,10/11/2023,5,20,10,11,140,284,145
soybeans,31,5/11/2023,10/24/2023,5,11,10,24,131,297,167
SUGARBEETS,31,4/10/2023,10/30/2023,4,10,10,30,100,303,204
Wheat_Spring,31,4/8/2023,8/20/2023,4,8,8,20,98,232,135
Wheat_Winter,31,9/9/2023,7/21/2023,9,9,7,21,252,202,316
Barley_Spring,32,4/15/2023,8/25/2023,4,15,8,25,105,237,133
BEANS,32,5/1/2023,10/15/2023,5,1,10,15,121,288,168
Corn_grain,32,4/1/2023,11/1/2023,4,1,11,1,91,305,215
Corn_Silage,32,4/1/2023,11/1/2023,4,1,11,1,91,305,215
Cotton_Upland,32,4/10/2023,11/1/2023,4,10,11,1,100,305,206
hay_Alfalfa,32,9/5/2023,9/5/2023,9,5,9,5,248,248,366
hay_Non_Alfalfa,32,8/20/2023,8/20/2023,8,20,8,20,232,232,366
OATS_fall,32,10/1/2023,9/1/2023,10,1,9,1,274,244,336
POTATOES_fall,32,1/1/2023,6/15/2023,1,1,6,15,1,166,166
Wheat_Spring,32,4/15/2023,8/25/2023,4,15,8,25,105,237,133
Wheat_Winter,32,9/15/2023,8/20/2023,9,15,8,20,258,232,340
Barley_Spring,33,5/9/2023,9/18/2023,5,9,9,18,129,261,133
Barley_Winter,33,9/15/2023,7/20/2023,9,15,7,20,258,201,309
Corn_grain,33,5/10/2023,11/20/2023,5,10,11,20,130,324,195
Corn_Silage,33,5/12/2023,10/16/2023,5,12,10,16,132,289,158
POTATOES_fall,33,5/14/2023,10/10/2023,5,14,10,10,134,283,150
soybeans,33,5/20/2023,11/10/2023,5,20,11,10,140,314,175
Barley_Winter,34,10/1/2023,7/10/2023,10,1,7,10,274,191,283
BEANS,34,6/15/2023,9/30/2023,6,15,9,30,166,273,108
Corn_grain,34,5/1/2023,11/1/2023,5,1,11,1,121,305,185
Corn_Silage,34,5/1/2023,9/30/2023,5,1,9,30,121,273,153
hay_Alfalfa,34,9/11/2023,9/11/2023,9,11,9,11,254,254,366
hay_Non_Alfalfa,34,10/2/2023,10/2/2023,10,2,10,2,275,275,366
OATS_fall,34,9/27/2023,7/3/2023,9,27,7,3,270,184,280
POTATOES_summer,34,5/1/2023,9/30/2023,5,1,9,30,121,273,153
sorghum_grain,34,6/2/2023,11/3/2023,6,2,11,3,153,307,155
soybeans,34,5/20/2023,11/10/2023,5,20,11,10,140,314,175
Wheat_Winter,34,10/5/2023,7/10/2023,10,5,7,10,278,191,279
Barley_Winter,35,12/1/2023,6/20/2023,12,1,6,20,335,171,202
BEANS,35,5/20/2023,9/30/2023,5,20,9,30,140,273,134
Corn_grain,35,4/20/2023,10/30/2023,4,20,10,30,110,303,194
Corn_Silage,35,4/20/2023,10/1/2023,4,20,10,1,110,274,165
Cotton_Upland,35,4/20/2023,11/30/2023,4,20,11,30,110,334,225
hay_Alfalfa,35,10/6/2023,10/6/2023,10,6,10,6,279,279,366
hay_Non_Alfalfa,35,8/10/2023,8/10/2023,8,10,8,10,222,222,366
OATS_fall,35,9/20/2023,6/22/2023,9,20,6,22,263,173,276
PEANUTS,35,5/15/2023,10/30/2023,5,15,10,30,135,303,169
POTATOES_fall,35,4/25/2023,10/10/2023,4,25,10,10,115,283,169
sorghum_grain,35,5/20/2023,11/15/2023,5,20,11,15,140,319,180
sorghum_silage,35,5/20/2023,10/10/2023,5,20,10,10,140,283,144
soybeans,35,4/27/2023,11/20/2023,4,27,11,20,117,324,208
SUGARBEETS,35,4/5/2023,11/10/2023,4,5,11,10,95,314,220
Wheat_Durum,35,12/1/2023,6/15/2023,12,1,6,15,335,166,197
Wheat_Spring,35,4/9/2023,9/17/2023,4,9,9,17,99,260,162
Wheat_Winter,35,9/10/2023,7/10/2023,9,10,7,10,253,191,304
Barley_Spring,36,4/7/2023,8/27/2023,4,7,8,27,97,239,143
BEANS,36,6/15/2023,9/30/2023,6,15,9,30,166,273,108
Corn_grain,36,5/4/2023,11/14/2023,5,4,11,14,124,318,195
Corn_Silage,36,5/4/2023,10/1/2023,5,4,10,1,124,274,151
hay_Alfalfa,36,9/11/2023,9/11/2023,9,11,9,11,254,254,366
hay_Non_Alfalfa,36,10/2/2023,10/2/2023,10,2,10,2,275,275,366
OATS_Spring,36,4/1/2023,8/24/2023,4,1,8,24,91,236,146
POTATOES_fall,36,5/15/2023,10/7/2023,5,15,10,7,135,280,146
sorghum_grain,36,6/2/2023,11/3/2023,6,2,11,3,153,307,155
soybeans,36,5/19/2023,11/14/2023,5,19,11,14,139,318,180
Wheat_Winter,36,9/15/2023,8/7/2023,9,15,8,7,258,219,327
Barley_Winter,37,10/15/2023,6/30/2023,10,15,6,30,288,181,259
Corn_grain,37,4/10/2023,10/10/2023,4,10,10,10,100,283,184
Corn_Silage,37,4/10/2023,9/20/2023,4,10,9,20,100,263,164
Cotton_Upland,37,5/1/2023,11/15/2023,5,1,11,15,121,319,199
hay_Alfalfa,37,9/1/2023,9/1/2023,9,1,9,1,244,244,366
hay_Non_Alfalfa,37,9/15/2023,9/15/2023,9,15,9,15,258,258,366
OATS_fall,37,10/15/2023,6/30/2023,10,15,6,30,288,181,259
PEANUTS,37,5/10/2023,10/30/2023,5,10,10,30,130,303,174
POTATOES_summer,37,3/10/2023,7/15/2023,3,10,7,15,69,196,128
RICE,37,3/28/2023,9/15/2023,3,28,9,15,87,258,172
RYE,37,10/10/2023,6/28/2023,10,10,6,28,283,179,262
sorghum_grain,37,5/25/2023,10/22/2023,5,25,10,22,145,295,151
sorghum_silage,37,3/22/2023,10/1/2023,3,22,10,1,81,274,194
soybeans,37,5/20/2023,12/5/2023,5,20,12,5,140,339,200
Wheat_Winter,37,10/15/2023,6/30/2023,10,15,6,30,288,181,259
Barley_Spring,38,4/26/2023,9/3/2023,4,26,9,3,116,246,131
BEANS,38,5/19/2023,10/11/2023,5,19,10,11,139,284,146
CANOLA,38,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,38,5/2/2023,11/19/2023,5,2,11,19,122,323,202
Corn_Silage,38,5/2/2023,10/5/2023,5,2,10,5,122,278,157
hay_Alfalfa,38,9/12/2023,9/12/2023,9,12,9,12,255,255,366
hay_Non_Alfalfa,38,8/14/2023,8/14/2023,8,14,8,14,226,226,366
OATS_Spring,38,4/26/2023,9/5/2023,4,26,9,5,116,248,133
PEAS,38,4/10/2023,8/31/2023,4,10,8,31,100,243,144
POTATOES_fall,38,5/5/2023,10/7/2023,5,5,10,7,125,280,156
RYE,38,9/14/2023,7/24/2023,9,14,7,24,257,205,314
sorghum_grain,38,5/20/2023,11/6/2023,5,20,11,6,140,310,171
sorghum_silage,38,5/20/2023,10/11/2023,5,20,10,11,140,284,145
soybeans,38,5/14/2023,10/21/2023,5,14,10,21,134,294,161
SUGARBEETS,38,4/24/2023,10/17/2023,4,24,10,17,114,290,177
Wheat_Durum,38,5/2/2023,9/23/2023,5,2,9,23,122,266,145
Wheat_Spring,38,4/24/2023,9/13/2023,4,24,9,13,114,256,143
Wheat_Winter,38,9/10/2023,7/29/2023,9,10,7,29,253,210,323
Barley_Spring,39,4/13/2023,8/19/2023,4,13,8,19,103,231,129
BEANS,39,6/3/2023,10/12/2023,6,3,10,12,154,285,132
Corn_grain,39,4/24/2023,11/20/2023,4,24,11,20,114,324,211
Corn_Silage,39,4/24/2023,10/4/2023,4,24,10,4,114,277,164
hay_Alfalfa,39,9/11/2023,9/11/2023,9,11,9,11,254,254,366
hay_Non_Alfalfa,39,10/2/2023,10/2/2023,10,2,10,2,275,275,366
OATS_Spring,39,4/9/2023,8/7/2023,4,9,8,7,99,219,121
POTATOES_fall,39,4/20/2023,10/6/2023,4,20,10,6,110,279,170
RYE,39,10/4/2023,6/20/2023,10,4,6,20,277,171,260
sorghum_grain,39,5/15/2023,11/10/2023,5,15,11,10,135,314,180
soybeans,39,5/3/2023,10/31/2023,5,3,10,31,123,304,182
SUGARBEETS,39,4/20/2023,11/10/2023,4,20,11,10,110,314,205
Wheat_Winter,39,10/2/2023,7/17/2023,10,2,7,17,275,198,289
Barley_Winter,40,10/3/2023,6/30/2023,10,3,6,30,276,181,271
BEANS,40,5/28/2023,10/13/2023,5,28,10,13,148,286,139
CANOLA,40,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,40,4/2/2023,10/9/2023,4,2,10,9,92,282,191
Corn_Silage,40,4/28/2023,9/30/2023,4,28,9,30,118,273,156
Cotton_Upland,40,5/11/2023,12/9/2023,5,11,12,9,131,343,213
hay_Alfalfa,40,10/6/2023,10/6/2023,10,6,10,6,279,279,366
hay_Non_Alfalfa,40,8/10/2023,8/10/2023,8,10,8,10,222,222,366
OATS_Spring,40,2/22/2023,7/4/2023,2,22,7,4,53,185,133
PEANUTS,40,5/7/2023,11/16/2023,5,7,11,16,127,320,194
POTATOES_fall,40,5/6/2023,10/11/2023,5,6,10,11,126,284,159
RYE,40,9/10/2023,7/2/2023,9,10,7,2,253,183,296
sorghum_grain,40,5/12/2023,11/21/2023,5,12,11,21,132,325,194
sorghum_silage,40,5/19/2023,9/20/2023,5,19,9,20,139,263,125
soybeans,40,4/27/2023,11/20/2023,4,27,11,20,117,324,208
Wheat_Winter,40,9/15/2023,6/27/2023,9,15,6,27,258,178,286
Barley_Spring,41,3/30/2023,9/1/2023,3,30,9,1,89,244,156
BEANS,41,5/1/2023,10/15/2023,5,1,10,15,121,288,168
CANOLA,41,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,41,4/25/2023,11/20/2023,4,25,11,20,115,324,210
Corn_Silage,41,5/25/2023,9/20/2023,5,25,9,20,145,263,119
hay_Alfalfa,41,9/5/2023,9/5/2023,9,5,9,5,248,248,366
hay_Non_Alfalfa,41,8/20/2023,8/20/2023,8,20,8,20,232,232,366
OATS_fall,41,10/15/2023,8/20/2023,10,15,8,20,288,232,310
PEAS,41,4/10/2023,8/20/2023,4,10,8,20,100,232,133
POTATOES_fall,41,4/15/2023,10/20/2023,4,15,10,20,105,293,189
SUGARBEETS,41,4/10/2023,10/20/2023,4,10,10,20,100,293,194
Wheat_Durum,41,10/20/2023,7/15/2023,10,20,7,15,293,196,269
Wheat_Spring,41,3/25/2023,9/1/2023,3,25,9,1,84,244,161
Wheat_Winter,41,10/10/2023,8/15/2023,10,10,8,15,283,227,310
Barley_Winter,42,9/15/2023,7/20/2023,9,15,7,20,258,201,309
BEANS,42,6/15/2023,9/30/2023,6,15,9,30,166,273,108
Corn_grain,42,5/10/2023,11/20/2023,5,10,11,20,130,324,195
Corn_Silage,42,5/10/2023,10/10/2023,5,10,10,10,130,283,154
hay_Alfalfa,42,9/11/2023,9/11/2023,9,11,9,11,254,254,366
hay_Non_Alfalfa,42,10/2/2023,10/2/2023,10,2,10,2,275,275,366
OATS_Spring,42,4/15/2023,8/20/2023,4,15,8,20,105,232,128
POTATOES_fall,42,4/30/2023,10/10/2023,4,30,10,10,120,283,164
sorghum_grain,42,6/2/2023,11/3/2023,6,2,11,3,153,307,155
soybeans,42,5/20/2023,11/10/2023,5,20,11,10,140,314,175
Wheat_Winter,42,9/15/2023,7/30/2023,9,15,7,30,258,211,319
Corn_grain,44,5/4/2023,11/14/2023,5,4,11,14,124,318,195
Corn_Silage,44,5/12/2023,10/16/2023,5,12,10,16,132,289,158
POTATOES_fall,44,4/30/2023,10/1/2023,4,30,10,1,120,274,155
Wheat_Winter,44,9/15/2023,8/7/2023,9,15,8,7,258,219,327
Barley_Winter,45,10/20/2023,6/24/2023,10,20,6,24,293,175,248
Corn_grain,45,3/20/2023,9/25/2023,3,20,9,25,79,268,190
Corn_Silage,45,4/10/2023,9/20/2023,4,10,9,20,100,263,164
Cotton_Upland,45,5/1/2023,11/13/2023,5,1,11,13,121,317,197
hay_Alfalfa,45,9/1/2023,9/1/2023,9,1,9,1,244,244,366
hay_Non_Alfalfa,45,9/15/2023,9/15/2023,9,15,9,15,258,258,366
OATS_fall,45,10/15/2023,6/20/2023,10,15,6,20,288,171,249
PEANUTS,45,4/25/2023,11/1/2023,4,25,11,1,115,305,191
POTATOES_spring,45,9/15/2023,6/15/2023,9,15,6,15,258,166,274
RYE,45,10/10/2023,6/28/2023,10,10,6,28,283,179,262
sorghum_grain,45,5/25/2023,11/6/2023,5,25,11,6,145,310,166
sorghum_silage,45,4/14/2023,9/16/2023,4,14,9,16,104,259,156
soybeans,45,5/27/2023,12/10/2023,5,27,12,10,147,344,198
Wheat_Winter,45,11/11/2023,6/25/2023,11,11,6,25,315,176,227
Barley_Spring,46,4/14/2023,8/19/2023,4,14,8,19,104,231,128
BEANS,46,5/19/2023,10/11/2023,5,19,10,11,139,284,146
CANOLA,46,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,46,5/2/2023,11/16/2023,5,2,11,16,122,320,199
Corn_Silage,46,5/2/2023,10/5/2023,5,2,10,5,122,278,157
hay_Alfalfa,46,9/12/2023,9/12/2023,9,12,9,12,255,255,366
hay_Non_Alfalfa,46,8/14/2023,8/14/2023,8,14,8,14,226,226,366
OATS_Spring,46,4/10/2023,8/15/2023,4,10,8,15,100,227,128
PEAS,46,4/10/2023,8/31/2023,4,10,8,31,100,243,144
POTATOES_fall,46,5/5/2023,10/7/2023,5,5,10,7,125,280,156
RYE,46,9/9/2023,8/4/2023,9,9,8,4,252,216,330
sorghum_grain,46,5/20/2023,11/6/2023,5,20,11,6,140,310,171
sorghum_silage,46,5/20/2023,10/11/2023,5,20,10,11,140,284,145
soybeans,46,5/15/2023,10/24/2023,5,15,10,24,135,297,163
Wheat_Durum,46,4/8/2023,8/20/2023,4,8,8,20,98,232,135
Wheat_Spring,46,4/8/2023,8/20/2023,4,8,8,20,98,232,135
Wheat_Winter,46,9/9/2023,8/5/2023,9,9,8,5,252,217,331
Barley_Winter,47,10/15/2023,6/30/2023,10,15,6,30,288,181,259
Corn_grain,47,4/5/2023,10/10/2023,4,5,10,10,95,283,189
Corn_Silage,47,4/15/2023,9/20/2023,4,15,9,20,105,263,159
Cotton_Upland,47,5/1/2023,11/10/2023,5,1,11,10,121,314,194
hay_Alfalfa,47,9/1/2023,9/1/2023,9,1,9,1,244,244,366
hay_Non_Alfalfa,47,9/1/2023,9/1/2023,9,1,9,1,244,244,366
OATS_fall,47,9/15/2023,6/25/2023,9,15,6,25,258,176,284
PEANUTS,47,4/25/2023,10/22/2023,4,25,10,22,115,295,181
POTATOES_fall,47,4/20/2023,10/6/2023,4,20,10,6,110,279,170
RICE,47,4/14/2023,10/10/2023,4,14,10,10,104,283,180
RYE,47,10/4/2023,6/20/2023,10,4,6,20,277,171,260
sorghum_grain,47,5/10/2023,10/10/2023,5,10,10,10,130,283,154
sorghum_silage,47,4/14/2023,9/16/2023,4,14,9,16,104,259,156
soybeans,47,5/15/2023,11/20/2023,5,15,11,20,135,324,190
Wheat_Winter,47,10/10/2023,6/30/2023,10,10,6,30,283,181,264
Barley_Winter,48,10/1/2023,6/20/2023,10,1,6,20,274,171,263
BEANS,48,5/20/2023,9/30/2023,5,20,9,30,140,273,134
CANOLA,48,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,48,3/8/2023,10/11/2023,3,8,10,11,67,284,218
Corn_Silage,48,3/20/2023,9/5/2023,3,20,9,5,79,248,170
Cotton_Upland,48,4/8/2023,12/21/2023,4,8,12,21,98,355,258
hay_Alfalfa,48,9/1/2023,9/1/2023,9,1,9,1,244,244,366
hay_Non_Alfalfa,48,9/1/2023,9/1/2023,9,1,9,1,244,244,366
OATS_fall,48,9/20/2023,6/22/2023,9,20,6,22,263,173,276
PEANUTS,48,5/6/2023,11/16/2023,5,6,11,16,126,320,195
POTATOES_fall,48,4/25/2023,10/10/2023,4,25,10,10,115,283,169
RICE,48,3/23/2023,9/4/2023,3,23,9,4,82,247,166
RYE,48,9/10/2023,7/2/2023,9,10,7,2,253,183,296
sorghum_grain,48,3/11/2023,11/16/2023,3,11,11,16,70,320,251
sorghum_silage,48,3/22/2023,10/1/2023,3,22,10,1,81,274,194
soybeans,48,3/30/2023,10/17/2023,3,30,10,17,89,290,202
SUGARBEETS,48,4/8/2023,12/1/2023,4,8,12,1,98,335,238
SUGARCANE,48,3/1/2023,3/1/2023,3,1,3,1,60,60,366
Wheat_Spring,48,4/9/2023,9/17/2023,4,9,9,17,99,260,162
Wheat_Winter,48,9/12/2023,7/2/2023,9,12,7,2,255,183,294
Barley_Spring,49,4/1/2023,8/15/2023,4,1,8,15,91,227,137
BEANS,49,5/1/2023,10/15/2023,5,1,10,15,121,288,168
Corn_grain,49,4/30/2023,10/30/2023,4,30,10,30,120,303,184
Corn_Silage,49,5/5/2023,10/5/2023,5,5,10,5,125,278,154
hay_Alfalfa,49,9/5/2023,9/5/2023,9,5,9,5,248,248,366
hay_Non_Alfalfa,49,8/20/2023,8/20/2023,8,20,8,20,232,232,366
OATS_Spring,49,4/10/2023,9/10/2023,4,10,9,10,100,253,154
POTATOES_summer,49,5/10/2023,10/15/2023,5,10,10,15,130,288,159
SUGARBEETS,49,4/7/2023,11/4/2023,4,7,11,4,97,308,212
Wheat_Spring,49,4/1/2023,8/25/2023,4,1,8,25,91,237,147
Wheat_Winter,49,8/25/2023,8/10/2023,8,25,8,10,237,222,351
Barley_Spring,50,4/7/2023,8/27/2023,4,7,8,27,97,239,143
Barley_Winter,50,9/15/2023,7/20/2023,9,15,7,20,258,201,309
BEANS,50,6/15/2023,9/30/2023,6,15,9,30,166,273,108
Corn_grain,50,5/4/2023,11/14/2023,5,4,11,14,124,318,195
Corn_Silage,50,5/12/2023,10/16/2023,5,12,10,16,132,289,158
POTATOES_fall,50,5/15/2023,10/7/2023,5,15,10,7,135,280,146
soybeans,50,5/19/2023,11/14/2023,5,19,11,14,139,318,180
Wheat_Winter,50,9/15/2023,8/7/2023,9,15,8,7,258,219,327
Barley_Winter,51,9/26/2023,6/25/2023,9,26,6,25,269,176,273
BEANS,51,6/3/2023,10/12/2023,6,3,10,12,154,285,132
Corn_grain,51,4/11/2023,10/28/2023,4,11,10,28,101,301,201
Corn_Silage,51,4/11/2023,9/27/2023,4,11,9,27,101,270,170
Cotton_Upland,51,4/25/2023,11/20/2023,4,25,11,20,115,324,210
hay_Alfalfa,51,9/1/2023,9/1/2023,9,1,9,1,244,244,366
hay_Non_Alfalfa,51,9/1/2023,9/1/2023,9,1,9,1,244,244,366
OATS_fall,51,9/27/2023,7/3/2023,9,27,7,3,270,184,280
PEANUTS,51,4/30/2023,10/17/2023,4,30,10,17,120,290,171
POTATOES_summer,51,4/14/2023,8/23/2023,4,14,8,23,104,235,132
RYE,51,10/4/2023,6/20/2023,10,4,6,20,277,171,260
sorghum_grain,51,5/15/2023,11/10/2023,5,15,11,10,135,314,180
sorghum_silage,51,3/22/2023,10/1/2023,3,22,10,1,81,274,194
soybeans,51,5/15/2023,11/28/2023,5,15,11,28,135,332,198
Wheat_Winter,51,10/10/2023,7/5/2023,10,10,7,5,283,186,269
Barley_Spring,53,3/30/2023,8/30/2023,3,30,8,30,89,242,154
BEANS,53,4/20/2023,10/1/2023,4,20,10,1,110,274,165
CANOLA,53,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,53,4/20/2023,11/15/2023,4,20,11,15,110,319,210
Corn_Silage,53,4/20/2023,10/15/2023,4,20,10,15,110,288,179
hay_Alfalfa,53,9/5/2023,9/5/2023,9,5,9,5,248,248,366
hay_Non_Alfalfa,53,8/20/2023,8/20/2023,8,20,8,20,232,232,366
OATS_Spring,53,3/10/2023,8/30/2023,3,10,8,30,69,242,174
PEAS,53,4/10/2023,8/20/2023,4,10,8,20,100,232,133
POTATOES_fall,53,4/5/2023,10/15/2023,4,5,10,15,95,288,194
SUGARBEETS,53,3/22/2023,10/20/2023,3,22,10,20,81,293,213
Wheat_Durum,53,10/20/2023,7/15/2023,10,20,7,15,293,196,269
Wheat_Spring,53,3/25/2023,8/30/2023,3,25,8,30,84,242,159
Wheat_Winter,53,9/1/2023,8/20/2023,9,1,8,20,244,232,354
Barley_Winter,54,10/9/2023,6/28/2023,10,9,6,28,282,179,263
Corn_grain,54,5/1/2023,11/20/2023,5,1,11,20,121,324,204
Corn_Silage,54,5/1/2023,9/20/2023,5,1,9,20,121,263,143
hay_Alfalfa,54,9/1/2023,9/1/2023,9,1,9,1,244,244,366
hay_Non_Alfalfa,54,9/1/2023,9/1/2023,9,1,9,1,244,244,366
OATS_Spring,54,4/10/2023,8/15/2023,4,10,8,15,100,227,128
POTATOES_summer,54,4/14/2023,8/23/2023,4,14,8,23,104,235,132
sorghum_grain,54,6/2/2023,11/3/2023,6,2,11,3,153,307,155
soybeans,54,5/10/2023,11/30/2023,5,10,11,30,130,334,205
Wheat_Winter,54,9/15/2023,7/25/2023,9,15,7,25,258,206,314
Barley_Spring,55,4/10/2023,8/15/2023,4,10,8,15,100,227,128
BEANS,55,6/3/2023,10/12/2023,6,3,10,12,154,285,132
CANOLA,55,9/15/2023,6/10/2023,9,15,6,10,258,161,269
Corn_grain,55,5/2/2023,11/17/2023,5,2,11,17,122,321,200
Corn_Silage,55,5/2/2023,10/13/2023,5,2,10,13,122,286,165
hay_Alfalfa,55,9/11/2023,9/11/2023,9,11,9,11,254,254,366
hay_Non_Alfalfa,55,9/11/2023,9/11/2023,9,11,9,11,254,254,366
OATS_Spring,55,4/20/2023,8/24/2023,4,20,8,24,110,236,127
PEAS,55,4/10/2023,8/31/2023,4,10,8,31,100,243,144
POTATOES_fall,55,4/5/2023,10/1/2023,4,5,10,1,95,274,180
RYE,55,9/14/2023,7/24/2023,9,14,7,24,257,205,314
sorghum_grain,55,5/17/2023,11/8/2023,5,17,11,8,137,312,176
sorghum_silage,55,5/20/2023,10/11/2023,5,20,10,11,140,284,145
soybeans,55,5/12/2023,10/29/2023,5,12,10,29,132,302,171
Wheat_Spring,55,4/10/2023,8/25/2023,4,10,8,25,100,237,138
Wheat_Winter,55,10/5/2023,8/11/2023,10,5,8,11,278,223,311
Barley_Spring,56,3/26/2023,8/26/2023,3,26,8,26,85,238,154
BEANS,56,5/27/2023,10/15/2023,5,27,10,15,147,288,142
Corn_grain,56,5/3/2023,11/24/2023,5,3,11,24,123,328,206
Corn_Silage,56,5/3/2023,9/29/2023,5,3,9,29,123,272,150
hay_Alfalfa,56,9/12/2023,9/12/2023,9,12,9,12,255,255,366
hay_Non_Alfalfa,56,8/14/2023,8/14/2023,8,14,8,14,226,226,366
OATS_Spring,56,4/14/2023,9/1/2023,4,14,9,1,104,244,141
POTATOES_fall,56,4/28/2023,10/13/2023,4,28,10,13,118,286,169
sorghum_grain,56,5/20/2023,11/6/2023,5,20,11,6,140,310,171
sorghum_silage,56,5/20/2023,10/11/2023,5,20,10,11,140,284,145
soybeans,56,5/15/2023,10/24/2023,5,15,10,24,135,297,163
SUGARBEETS,56,4/13/2023,10/27/2023,4,13,10,27,103,300,198
Wheat_Durum,56,4/10/2023,9/10/2023,4,10,9,10,100,253,154
Wheat_Spring,56,4/14/2023,9/8/2023,4,14,9,8,104,251,148
Wheat_Winter,56,9/4/2023,8/15/2023,9,4,8,15,247,227,346
